countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
069,25115,Estes Park,2018,26,0,"6,301","6,264",2.081754736,"4,360","3,009","1,351"
125,86310,Wray,2016,0,0,"2,317","2,202",2.367741935,"1,027",930,97
107,55155,Oak Creek,2015,1,1,905,905,2.251243781,511,402,109
013,53175,Nederland,2013,1,0,"1,486","1,481",2.190828402,751,676,75
081,99990,Unincorp. Area,2016,7,0,"3,870","3,867",2.578,"1,988","1,500",488
043,11810,Canon City,2018,53,,"16,690","15,116",2.232791728,"7,414","6,770",644
019,00000,CLEAR CREEK COUNTY,2012,16,0,"9,070","8,949",2.139885222,"5,716","4,182","1,534"
999,85485,Windsor (Total),2013,438,438,"21,538","21,435",2.756558642,"8,077","7,776",301
071,99990,Unincorp. Area,2014,34,0,"5,295","4,795",2.272037915,"3,624","2,110","1,514"
025,55705,Olney Springs,2016,0,0,327,327,2.5546875,161,128,33
051,48555,Marble,2012,0,0,131,131,2.425925926,105,54,51
069,06255,Berthoud (Part),2015,67,60,"5,807","5,738",2.511159737,"2,325","2,285",40
001,04000,Aurora (Part),2014,245,245,"43,666","42,651",3.075054074,"14,590","13,870",720
041,11260,Calhan,2015,0,0,809,809,2.51242236,350,322,28
021,65740,Romeo,2013,1,0,403,403,3.053030303,159,132,27
061,69700,Sheridan Lake,2017,0,0,86,86,3.071428571,44,28,16
069,27425,Fort Collins,2014,"1,391","1,409","156,569","149,087",2.367324579,"64,784","62,977","1,807"
071,40570,Kim,2014,0,0,64,64,1.882352941,47,34,13
089,27975,Fowler,2012,0,0,"1,168","1,131",2.175,597,520,77
119,99990,Unincorp. Area,2018,76,75,"15,604","15,472",2.496933505,"8,852","6,196","2,656"
073,37875,Hugo,2012,0,0,716,634,2.071895425,410,306,104
093,00000,PARK COUNTY,2018,154,,"18,556","18,464",2.24595548,"13,970","8,221","5,749"
117,00000,SUMMIT COUNTY,2011,93,0,"28,043","27,770",2.358186141,"29,952","11,776","18,176"
105,99990,Unincorp. Area,2016,7,13,"5,021","4,924",2.503304525,"3,225","1,967","1,258"
089,00000,OTERO COUNTY,2013,4,0,"18,446","18,013",2.380467821,"8,980","7,567","1,413"
013,99990,Unincorp. Area,2017,71,71,"44,659","44,606",2.334589417,"21,441","19,107","2,334"
009,99990,Unincorp. Area,2012,0,0,"1,354","1,354",2.326460481,824,582,242
059,83835,Westminster (Part),2012,32,32,"43,195","43,039",2.540822953,"17,297","16,939",358
123,45530,Lochbuie (Part),2015,27,27,"5,481","5,481",2.89846642,"1,936","1,891",45
103,00000,RIO BLANCO COUNTY,2012,16,0,"6,760","6,507",2.428891377,"3,355","2,679",676
013,24950,Erie (Part),2010,11,23,"8,440","8,440",2.970784935,"2,899","2,841",58
123,37820,Hudson,2017,13,13,"1,657","1,657",2.907017544,582,570,12
001,04000,Aurora (Part),2012,204,204,"41,672","40,773",3.075118787,"14,324","13,259","1,065"
031,00000,DENVER COUNTY,2010,222,0,"604,879","588,898",2.220304412,"287,392","265,233","22,159"
999,08070,Bow Mar (Total),2012,1,0,893,893,3.027118644,303,295,8
035,57630,Parker,2018,772,779,"55,764","55,726",2.844033888,"20,426","19,594",832
065,44320,Leadville,2012,5,5,"2,601","2,538",2.118530885,"1,680","1,198",482
117,08400,Breckenridge,2016,19,0,"4,968","4,865",2.279756326,"7,172","2,134","5,038"
005,24785,Englewood,2018,105,,"34,612","34,330",2.084395871,"16,644","16,470",174
107,55155,Oak Creek,2016,0,0,910,910,2.24691358,509,405,104
051,52570,Mount Crested Butte/G,2011,0,0,801,801,2.0025,"1,510",400,"1,110"
019,38370,Idaho Sprgs,2010,0,0,"1,750","1,720",2.074788902,934,829,105
001,16495,Commerce City,2013,192,192,"49,804","49,453",3.146665818,"16,019","15,716",303
061,22145,Eads,2012,0,0,605,591,2.080985915,352,284,68
063,00000,KIT CARSON COUNTY,2013,0,0,"8,241","7,185",2.36738056,"3,529","3,035",494
013,39195,Jamestown,2012,1,0,282,282,2.088888889,142,135,7
013,24950,Erie (Part),2012,44,44,"8,947","8,947",2.968480425,"3,014","3,014",0
001,26270,Federal Heights,2010,1,2,"11,506","11,506",2.58503707,"4,878","4,451",427
061,69700,Sheridan Lake,2011,1,0,91,91,3.033333333,44,30,14
107,00000,ROUTT COUNTY,2011,27,0,"23,256","22,918",2.342635183,"16,347","9,783","6,564"
095,57245,Paoli,2012,0,0,34,34,2.125,23,16,7
087,84770,Wiggins,2012,0,0,896,896,2.986666667,345,300,45
999,32650,Green Mtn Falls (Total),2016,8,0,867,843,1.988207547,610,424,186
097,04935,Basalt (Part),2018,6,0,976,976,2.374695864,560,411,149
087,09555,Brush,2010,0,0,"5,468","5,095",2.438966012,"2,295","2,089",206
101,07795,Boone,2010,0,0,340,332,2.388489209,182,139,43
025,56145,Ordway,2014,0,0,"1,051","1,016",2.335632184,541,435,106
035,43550,Larkspur,2010,0,2,184,184,2.271604938,90,81,9
065,44320,Leadville,2011,1,1,"2,627","2,564",2.119008264,"1,675","1,210",465
103,62880,Rangely,2010,2,8,"2,349","2,162",2.462414579,"1,015",878,137
043,15330,Coal Creek,2017,0,0,343,343,2.432624113,160,141,19
123,29185,Garden City,2015,0,0,247,247,2.111111111,128,117,11
113,68655,Sawpit,2014,0,0,42,42,2.210526316,23,19,4
013,99990,Unincorp. Area,2018,46,63,"44,447","44,394",2.334630555,"21,467","19,015","2,452"
999,75640,Superior (Total),2010,0,0,"12,500","12,500",2.776543758,"4,698","4,502",196
